doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C71120001125,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C71120001123,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C7112000111E,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C7112000145A,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C7112000144C,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C71120001403,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C711200012BB,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C711200012A0,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C71120001299,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C71120001290,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,25,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000025,00B07A14F039C71120001205,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C75120001D81,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C75120001D33,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C751200019C6,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C751200019BB,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C75120001953,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C751200017BB,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C75120001797,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,32,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000032,00B07A14F039C7512000171B,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C75120001D29,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C75120001C54,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C75120001BA0,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C75120001A7A,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C7512000190E,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C7512000180E,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C75120001739,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-005-000,34,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800500000034,00B07A14F039C75120001706,s,s,s,2000188591657
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C71120001612,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C711200015F0,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C711200015EF,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C71120001405,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,14,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000014,00B07A14F039C711200013B7,s,s,s,2000188591640
